ID,FRAMENUMBER,ANIMALID,MASS_X,MASS_Y,MASS_Z,FRONT_X,FRONT_Y,FRONT_Z,BACK_X,BACK_Y,BACK_Z,REARING,LOOK_UP,LOOK_DOWN,DATA
2419290,923842,2,211.75,321.18,76.88,197.84,328.26,28.0,225.67,314.11,30.65,1,0,1,"<root><DATA back_x=""225.67"" back_y=""314.11"" back_z=""30.65"" ear1_ratio=""0.92"" ear1_x=""197.92"" ear1_y=""322.67"" ear2_ratio=""0.93"" ear2_x=""202.2"" ear2_y=""332"" front_x=""197.84"" front_y=""328.26"" front_z=""28"" isLookingDown=""true"" isLookingUp=""false"" isRearing=""true"" mass_x=""211.75"" mass_y=""321.18"" mass_z=""76.88"" t=""923842""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>32989848</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>194</boundsX><boundsY>307</boundsY><boundsW>35</boundsW><boundsH>30</boundsH><boolMaskData>78:5e:cd:d2:c1:12:80:20:8:4:50:fb:ff:9f:4e:c1:2d:20:58:e:5e:f2:62:da:9b:15:66:18:c3:af:6b:af:70:6d:8e:10:6b:cf:95:15:fa:1d:dd:57:c4:a8:44:38:92:fd:f7:5:15:c2:a0:5a:e0:29:22:d0:7c:4f:a8:90:97:4e:c5:a:e1:19:b3:da:e:cc:90:3f:91:b6:1a:99:29:5a:b1:4e:dd:21:c1:e8:92:18:90:ba:9a:47:54:e4:5:a6:27:c5:bb:4b:2b:90:e2:ee:c2:41:eb:65:42:82:6b:70:3:ef:c1:2:d5</boolMaskData></ROI></root>"
2419291,923843,2,211.76,321.2,75.0,198.28,328.85,36.63,225.23,313.56,28.19,1,0,1,"<root><DATA back_x=""225.23"" back_y=""313.56"" back_z=""28.19"" ear1_ratio=""0.92"" ear1_x=""198.11"" ear1_y=""323.33"" ear2_ratio=""0.95"" ear2_x=""202.25"" ear2_y=""332.75"" front_x=""198.28"" front_y=""328.85"" front_z=""36.63"" isLookingDown=""true"" isLookingUp=""false"" isRearing=""true"" mass_x=""211.76"" mass_y=""321.2"" mass_z=""75"" t=""923843""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>32989903</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>194</boundsX><boundsY>306</boundsY><boundsW>35</boundsW><boundsH>31</boundsH><boolMaskData>78:5e:ad:d3:51:e:80:20:c:3:d0:ed:fe:97:16:6:e8:b4:ac:d5:44:7e:24:cb:a3:1b:31:98:c1:72:a8:dc:b:3e:57:c5:dc:96:68:df:3d:4a:60:6c:81:81:c0:28:49:36:a0:97:52:af:42:5c:a6:4:67:e:13:b3:95:26:54:44:a:17:2f:88:e:d1:a2:b7:11:83:34:a2:c4:6f:44:b6:8a:3f:4d:c7:9:41:c9:10:d4:7c:20:65:ab:95:51:4f:93:4:a4:18:be:b3:75:ed:7c:ec:b1:9f:84:88:31:4d:9:e:df:46:2:ce</boolMaskData></ROI></root>"
2419292,923844,2,211.29,321.06,77.88,198.03,329.04,36.35,224.56,313.09,34.63,1,0,1,"<root><DATA back_x=""224.56"" back_y=""313.09"" back_z=""34.63"" ear1_ratio=""0.92"" ear1_x=""197.22"" ear1_y=""322.89"" ear2_ratio=""0.96"" ear2_x=""201.88"" ear2_y=""332.88"" front_x=""198.03"" front_y=""329.04"" front_z=""36.35"" isLookingDown=""true"" isLookingUp=""false"" isRearing=""true"" mass_x=""211.29"" mass_y=""321.06"" mass_z=""77.88"" t=""923844""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>32989949</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>193</boundsX><boundsY>306</boundsY><boundsW>36</boundsW><boundsH>31</boundsH><boolMaskData>78:5e:8d:d2:59:e:c0:20:8:4:50:bc:ff:a5:d:82:3b:33:40:7f:b4:bc:b0:34:15:79:a2:89:3e:34:da:c:a8:96:18:87:98:dd:26:62:9f:f8:51:44:9e:86:31:b9:10:22:c7:e4:90:ec:42:84:4c:54:20:42:8d:4d:44:89:7d:6d:4a:a:55:6c:62:5e:65:98:8c:54:4c:b1:4c:da:6b:ac:9e:c:e4:3f:23:55:5:e3:84:b6:2b:98:45:f0:d8:9b:20:73:88:70:ff:3b:af:37:df:5e:4f:7f:d2:df:98:81:69:4b:28:82:a4:3:2b:ba:2:d7</boolMaskData></ROI></root>"
2419293,923845,2,211.38,320.95,73.24,197.93,329.08,27.42,224.83,312.81,30.04,1,0,1,"<root><DATA back_x=""224.83"" back_y=""312.81"" back_z=""30.04"" ear1_ratio=""0.91"" ear1_x=""197.38"" ear1_y=""322.75"" ear2_ratio=""0.98"" ear2_x=""200.88"" ear2_y=""332.88"" front_x=""197.93"" front_y=""329.08"" front_z=""27.42"" isLookingDown=""true"" isLookingUp=""false"" isRearing=""true"" mass_x=""211.38"" mass_y=""320.95"" mass_z=""73.24"" t=""923845""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>32989990</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>193</boundsX><boundsY>306</boundsY><boundsW>35</boundsW><boundsH>31</boundsH><boolMaskData>78:5e:85:d2:51:e:c0:20:8:3:50:bd:ff:a5:37:20:4c:61:b4:e5:63:89:fa:2c:2e:ba:56:ab:6d:63:ff:cc:b5:d7:ce:9a:c1:bb:bb:d4:18:56:89:8f:5a:da:20:2a:99:40:8d:1:e2:c4:20:70:c5:68:42:44:76:d2:84:89:48:a1:22:2e:4d:12:e:2c:44:88:eb:f2:91:d4:19:76:d5:68:77:ce:db:63:10:c6:df:b:37:f1:a4:a8:d1:24:4:6d:a5:49:a:7c:e0:4f:20:72:c0:70:96:7b:b1:fc:d2:7f:a1:37:62:22:3a:41:f1:0:e:6:2:d9</boolMaskData></ROI></root>"
2419294,923846,2,211.58,320.85,75.08,198.46,329.41,31.63,224.71,312.29,31.13,1,0,1,"<root><DATA back_x=""224.71"" back_y=""312.29"" back_z=""31.13"" ear1_ratio=""0.92"" ear1_x=""197.33"" ear1_y=""323.17"" ear2_ratio=""0.97"" ear2_x=""201.86"" ear2_y=""332.71"" front_x=""198.46"" front_y=""329.41"" front_z=""31.63"" isLookingDown=""true"" isLookingUp=""false"" isRearing=""true"" mass_x=""211.58"" mass_y=""320.85"" mass_z=""75.08"" t=""923846""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>32990034</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>194</boundsX><boundsY>306</boundsY><boundsW>35</boundsW><boundsH>31</boundsH><boolMaskData>78:5e:ad:d1:51:12:80:20:8:4:50:bb:ff:a5:93:25:47:20:16:99:29:be:4c:de:ac:62:63:f8:ba:a4:c2:5e:22:a0:88:43:84:af:18:18:fb:92:e6:2a:1:81:a4:c2:a5:e4:c2:c6:30:b1:63:a8:58:84:3:e9:e8:4c:a5:1:f9:28:70:4e:99:a1:57:a9:c9:39:63:9e:53:47:60:e4:1f:48:63:9e:c6:cc:dd:d7:2f:6f:ac:21:e5:54:67:b2:4:8f:d9:82:dc:c6:80:97:98:1b:b6:6d:5f:f:eb:d8:7c:be:f5:47:91:a6:6e:b:e1:e0:6:28:f5:2:e0</boolMaskData></ROI></root>"
2419295,923847,2,211.81,321.18,74.6,198.74,329.29,31.73,224.88,313.08,35.82,1,0,1,"<root><DATA back_x=""224.88"" back_y=""313.08"" back_z=""35.82"" ear1_ratio=""0.93"" ear1_x=""197.67"" ear1_y=""323.5"" ear2_ratio=""0.98"" ear2_x=""201.67"" ear2_y=""332.83"" front_x=""198.74"" front_y=""329.29"" front_z=""31.73"" isLookingDown=""true"" isLookingUp=""false"" isRearing=""true"" mass_x=""211.81"" mass_y=""321.18"" mass_z=""74.6"" t=""923847""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>32990110</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>194</boundsX><boundsY>306</boundsY><boundsW>35</boundsW><boundsH>31</boundsH><boolMaskData>78:5e:a5:d2:51:12:80:20:8:4:50:bc:ff:a5:4b:84:22:81:dd:a6:fc:49:f1:cd:a2:8d:22:79:8c:5c:8a:95:61:a3:57:2e:d6:b7:72:4f:71:ae:76:94:c0:7:52:64:6c:9d:6a:11:50:b:ae:e3:0:e1:86:13:2e:84:13:28:f4:7:ff:15:33:4:67:e8:95:39:e1:e2:4d:a:35:fa:a8:60:2f:7b:76:c0:98:40:31:9c:b8:e8:4f:73:8b:ae:53:10:15:89:db:73:ee:57:da:eb:a9:11:0:2b:a6:7:7:d2:5a:2:c7</boolMaskData></ROI></root>"
2419296,923848,2,211.95,321.28,75.8,199.21,330.11,36.95,224.7,312.45,29.5,1,0,0,"<root><DATA back_x=""224.7"" back_y=""312.45"" back_z=""29.5"" front_x=""199.21"" front_y=""330.11"" front_z=""36.95"" isLookingDown=""false"" isLookingUp=""false"" isRearing=""true"" mass_x=""211.95"" mass_y=""321.28"" mass_z=""75.8"" t=""923848""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>32990150</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>194</boundsX><boundsY>306</boundsY><boundsW>36</boundsW><boundsH>31</boundsH><boolMaskData>78:5e:a5:d2:41:e:c0:20:8:4:40:f8:ff:a7:9b:22:52:10:58:49:ea:c9:ea:64:5:52:a2:bc:38:1f:85:13:de:ab:73:4c:46:de:d:55:81:41:c8:47:4e:cb:26:a1:82:9c:49:25:9:41:b5:8:25:b5:e4:b:ea:89:55:4:89:26:41:b3:66:f4:93:ec:72:50:cc:a0:98:15:3:43:74:84:3:73:23:52:cf:d:c9:74:30:d2:9f:c:a2:81:51:2:5f:1b:18:23:7d:90:23:5d:6b:9e:d4:26:88:f3:ad:e3:32:74:5f:df:f9:ce:80:78:0:5:bc:2:cf</boolMaskData></ROI></root>"
2419297,923849,2,211.85,321.45,75.32,198.68,329.82,34.53,225.02,313.08,29.32,1,0,1,"<root><DATA back_x=""225.02"" back_y=""313.08"" back_z=""29.32"" ear1_ratio=""0.93"" ear1_x=""197.5"" ear1_y=""324"" ear2_ratio=""0.97"" ear2_x=""201.71"" ear2_y=""333"" front_x=""198.68"" front_y=""329.82"" front_z=""34.53"" isLookingDown=""true"" isLookingUp=""false"" isRearing=""true"" mass_x=""211.85"" mass_y=""321.45"" mass_z=""75.32"" t=""923849""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>32990199</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>194</boundsX><boundsY>307</boundsY><boundsW>36</boundsW><boundsH>30</boundsH><boolMaskData>78:5e:ad:d3:59:e:80:30:8:4:50:bc:ff:a5:b5:d0:54:96:61:49:b4:1f:26:d5:d7:1:92:4a:64:d7:c5:cb:bd:44:64:3b:4c:25:45:3d:63:60:20:b1:2a:20:1e:41:62:7a:c2:c2:cc:f8:85:ac:b3:32:5c:9a:f2:12:1a:98:1:f9:27:a6:2c:24:43:35:84:7:6f:cc:80:4c:62:e6:fd:34:d:ed:8b:58:75:7d:ee:6a:81:6:46:5d:f9:2c:48:91:ac:6d:4d:a0:31:e0:d9:98:5a:fc:31:fe:a2:62:fc:49:b7:5f:28:27:37:eb:f0:2:cb</boolMaskData></ROI></root>"
2419298,923850,2,211.97,321.56,78.04,199.64,331.06,36.35,224.29,312.07,28.67,1,0,0,"<root><DATA back_x=""224.29"" back_y=""312.07"" back_z=""28.67"" front_x=""199.64"" front_y=""331.06"" front_z=""36.35"" isLookingDown=""false"" isLookingUp=""false"" isRearing=""true"" mass_x=""211.97"" mass_y=""321.56"" mass_z=""78.04"" t=""923850""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>32990256</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>195</boundsX><boundsY>307</boundsY><boundsW>34</boundsW><boundsH>31</boundsH><boolMaskData>78:5e:ad:91:49:12:c0:20:8:4:e1:ff:9f:4e:0:23:20:db:c1:78:b1:64:ba:1a:54:0:b7:50:96:2f:ea:69:c5:ba:5:30:10:88:7:33:12:9:e0:25:29:60:da:e4:f9:5b:dd:93:54:c4:7:54:39:d5:85:19:89:7b:0:3a:5:8f:71:7:90:a2:35:cc:0:bd:46:af:f8:cb:31:f4:e1:4f:69:27:19:bf:4d:80:46:b2:80:ba:cf:6:4a:c9:44:68:9e:76:b1:b1:b9:ef:51:e:92:26:67:4b:9d:3f:3:24:2:d6</boolMaskData></ROI></root>"
2419299,923851,2,211.85,321.67,75.0,199.78,331.36,38.67,223.92,311.97,30.65,1,0,0,"<root><DATA back_x=""223.92"" back_y=""311.97"" back_z=""30.65"" front_x=""199.78"" front_y=""331.36"" front_z=""38.67"" isLookingDown=""false"" isLookingUp=""false"" isRearing=""true"" mass_x=""211.85"" mass_y=""321.67"" mass_z=""75"" t=""923851""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>32990305</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-15210925</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>195</boundsX><boundsY>307</boundsY><boundsW>34</boundsW><boundsH>31</boundsH><boolMaskData>78:5e:bd:92:51:e:c0:20:8:43:f1:fe:97:76:3:a6:22:14:cc:b2:8c:f8:a3:7d:29:55:24:b2:d5:ee:a2:6b:81:62:7d:96:a7:36:c0:3b:39:60:47:de:0:c6:23:30:e0:a3:11:16:1:7:c4:e3:2:2d:e:0:69:93:38:68:8e:f:88:cc:a2:8e:c1:44:65:91:ea:fc:1a:ff:10:45:1b:1e:7e:96:44:7f:7:46:ca:ef:33:0:d4:67:2:31:b1:e8:3e:ab:11:65:23:59:49:c6:14:e8:6a:12:2a:eb:6d:20:d0:1:d5:aa:2:c5</boolMaskData></ROI></root>"
