previous_frame,current_frame
1273064,1273065
1273065,1273066
1273068,1273069
1273069,1273070
1273071,1273072
1273072,1273073
1273086,1273087
1273235,1273236
1273236,1273237
1273237,1273238
1273247,1273248
1273248,1273249
1273250,1273251
1273252,1273253
1273254,1273255
1273257,1273258
1273258,1273259
1273259,1273260
1273263,1273264
1273266,1273267
1273272,1273273
1273273,1273274
1273274,1273275
1273276,1273277
1273277,1273278
1273278,1273279
1273283,1273284
1273284,1273285
1273289,1273290
1273290,1273291
1273291,1273292
1273292,1273293
1273294,1273295
1273296,1273297
1273298,1273299
1273304,1273305
1273309,1273310
1273310,1273311
1273311,1273312
1273312,1273313
1273313,1273314
1273314,1273315
1273315,1273316
1273317,1273318
1273327,1273328
1273328,1273329
1273334,1273335
1273339,1273340
1273340,1273341
1273341,1273342
1273343,1273344
1273348,1273349
1273349,1273350
1273351,1273352
1273352,1273353
1273353,1273354
1273356,1273357
1273357,1273358
1273358,1273359
1273359,1273360
1273360,1273361
1273361,1273362
1273364,1273365
1273365,1273366
1273366,1273367
1273369,1273370
1273370,1273371
1273371,1273372
1273374,1273375
1273375,1273376
1273376,1273377
1273377,1273378
1273378,1273379
1273379,1273380
1273380,1273381
1273381,1273382
1273383,1273384
1273384,1273385
1273387,1273388
1273390,1273391
1273391,1273392
1273393,1273394
1273394,1273395
1273400,1273401
1273402,1273403
1273404,1273405
1273412,1273413
1273413,1273414
1273414,1273415
1273418,1273419
1273422,1273423
1273423,1273424
1273425,1273426
1273429,1273430
1273436,1273437
1273437,1273438
1273439,1273440
1273442,1273443
1273446,1273447
1273450,1273451
1273451,1273452
1273452,1273453
1273455,1273456
1273457,1273458
1273462,1273463
1273466,1273467
1273468,1273469
1273471,1273472
1273475,1273476
1273476,1273477
1273480,1273481
1273483,1273484
1273484,1273485
1273485,1273486
1273491,1273492
1273493,1273494
1273495,1273496
1273496,1273497
1273497,1273498
1273499,1273500
1273500,1273501
1273501,1273502
1273502,1273503
1273503,1273504
1273506,1273507
1273508,1273509
1273510,1273511
1273512,1273513
1273513,1273514
1273514,1273515
1273515,1273516
1273516,1273517
1273517,1273518
1273519,1273520
1273520,1273521
1273521,1273522
1273524,1273525
1273526,1273527
1273527,1273528
1273528,1273529
1273531,1273532
1273534,1273535
1273536,1273537
1273537,1273538
1273538,1273539
1273539,1273540
1273543,1273544
1273544,1273545
1273545,1273546
1273546,1273547
1273548,1273549
1273552,1273553
1273553,1273554
1273554,1273555
1273557,1273558
1273560,1273561
1273563,1273564
1273566,1273567
1273567,1273568
1273568,1273569
1273571,1273572
1273572,1273573
1273573,1273574
1273574,1273575
1273575,1273576
1273576,1273577
1273579,1273580
1273580,1273581
1273581,1273582
1273584,1273585
1273586,1273587
1273588,1273589
1273590,1273591
1273591,1273592
1273597,1273598
1273605,1273606
1273607,1273608
1273609,1273610
1273610,1273611
1273612,1273613
1273614,1273615
1273618,1273619
1273623,1273624
1273626,1273627
1273627,1273628
1273628,1273629
1273629,1273630
1273634,1273635
1273636,1273637
1273637,1273638
1273639,1273640
1273640,1273641
1273643,1273644
1273645,1273646
1273649,1273650
1273650,1273651
1273651,1273652
1273652,1273653
1273655,1273656
1273657,1273658
1273658,1273659
1273660,1273661
1273671,1273672
1273672,1273673
1273674,1273675
1273675,1273676
1273676,1273677
1273677,1273678
1273684,1273685
1273685,1273686
1273687,1273688
1273689,1273690
1273691,1273692
1273692,1273693
1273694,1273695
1273695,1273696
1273700,1273701
1273701,1273702
1273703,1273704
1273704,1273705
1273706,1273707
1273707,1273708
1273710,1273711
1273711,1273712
1273712,1273713
1273714,1273715
1273715,1273716
1273716,1273717
1273721,1273722
1273723,1273724
1273727,1273728
1273729,1273730
1273731,1273732
1273733,1273734
1273739,1273740
1273741,1273742
1273742,1273743
1273743,1273744
1273746,1273747
1273747,1273748
1273750,1273751
1273751,1273752
1273754,1273755
1273756,1273757
1273758,1273759
1273759,1273760
1273762,1273763
1273764,1273765
1273767,1273768
1273768,1273769
1273772,1273773
1273773,1273774
1273775,1273776
1273777,1273778
1273778,1273779
1273779,1273780
1273785,1273786
1273787,1273788
1273798,1273799
1273799,1273800
1273801,1273802
1273802,1273803
1273805,1273806
1273807,1273808
1273809,1273810
1273811,1273812
1273814,1273815
1273816,1273817
1273817,1273818
1273818,1273819
1273819,1273820
1273821,1273822
1273822,1273823
1273825,1273826
1273826,1273827
1273831,1273832
1273832,1273833
1273833,1273834
1273837,1273838
1273838,1273839
1273840,1273841
1273842,1273843
1273843,1273844
1273844,1273845
1273847,1273848
1273849,1273850
1273853,1273854
1273855,1273856
1273858,1273859
1273859,1273860
1273864,1273865
1273869,1273870
1273870,1273871
1273871,1273872
1273874,1273875
1273875,1273876
1273878,1273879
1273880,1273881
1273881,1273882
1273882,1273883
1273883,1273884
1273884,1273885
1273889,1273890
1273891,1273892
1273892,1273893
1273893,1273894
1273895,1273896
1273896,1273897
1273899,1273900
1273900,1273901
1273902,1273903
1273903,1273904
1273904,1273905
1273905,1273906
1273906,1273907
1273907,1273908
1273908,1273909
1273909,1273910
1273911,1273912
1273912,1273913
1273916,1273917
1273917,1273918
1273921,1273922
1273925,1273926
1273927,1273928
1273930,1273931
1273932,1273933
1273933,1273934
1273939,1273940
1273940,1273941
1273944,1273945
1273946,1273947
1273949,1273950
1273951,1273952
1273957,1273958
1273960,1273961
1273961,1273962
1273966,1273967
1273968,1273969
1273969,1273970
1273971,1273972
1273973,1273974
1273974,1273975
1273975,1273976
1273976,1273977
1273977,1273978
1273978,1273979
1273979,1273980
1273981,1273982
1273982,1273983
1273984,1273985
1273985,1273986
1273988,1273989
1273990,1273991
1273992,1273993
1273998,1273999
1273999,1274000
1274000,1274001
1274064,1274065
1274065,1274066
1274074,1274075
1274075,1274076
1274078,1274079
1274079,1274080
1274107,1274108
1274108,1274109
1274110,1274111
1274111,1274112
1274174,1274175
1274175,1274176
1274195,1274196
1274196,1274197
1274261,1274262
1274262,1274263
1274277,1274278
1274278,1274279
1274288,1274289
1274289,1274290
1274297,1274298
1274309,1274310
1274314,1274315
1274316,1274317
1274340,1274341
1274341,1274342
1274424,1274425
1274425,1274426
1274522,1274523
1274523,1274524
1274533,1274534
1274534,1274535
1274568,1274569
1274569,1274570
1274600,1274601
1274601,1274602
1274634,1274635
1274635,1274636
1274702,1274703
1274703,1274704
1274711,1274712
1274712,1274713
1274715,1274716
1274723,1274724
1274724,1274725
1274729,1274730
1274731,1274732
1274734,1274735
1274737,1274738
1274738,1274739
1274745,1274746
1274746,1274747
1274747,1274748
1274748,1274749
1274749,1274750
1274750,1274751
1274755,1274756
1274756,1274757
1274761,1274762
1274762,1274763
1274763,1274764
1274764,1274765
1274765,1274766
1274766,1274767
1274775,1274776
1274776,1274777
1274782,1274783
1274783,1274784
1274791,1274792
1274792,1274793
1274794,1274795
1274795,1274796
1274797,1274798
1274799,1274800
1274815,1274816
1274816,1274817
1274821,1274822
1274823,1274824
1274824,1274825
1274826,1274827
1274828,1274829
1274829,1274830
1274831,1274832
1274832,1274833
1274834,1274835
1274839,1274840
1274840,1274841
1274841,1274842
1274842,1274843
1274846,1274847
1274852,1274853
1274853,1274854
1274855,1274856
1274856,1274857
1274863,1274864
1274864,1274865
1274866,1274867
1274867,1274868
1274869,1274870
1274870,1274871
1274878,1274879
1274879,1274880
1274884,1274885
1274885,1274886
1274892,1274893
1274893,1274894
1274898,1274899
1274900,1274901
1274901,1274902
1274903,1274904
1274905,1274906
1274906,1274907
1274910,1274911
1274912,1274913
1274917,1274918
1274919,1274920
1274923,1274924
1274924,1274925
1274930,1274931
1274931,1274932
1274933,1274934
1274934,1274935
1274938,1274939
1274939,1274940
1274942,1274943
1274943,1274944
1274945,1274946
1274946,1274947
1274947,1274948
1274949,1274950
1274950,1274951
1274952,1274953
1274956,1274957
1274957,1274958
1274961,1274962
1274966,1274967
1274968,1274969
1274970,1274971
1274977,1274978
1274978,1274979
1274981,1274982
1274982,1274983
1274984,1274985
1274988,1274989
1274989,1274990
1274990,1274991
1274993,1274994
1274999,1275000
1275001,1275002
1275005,1275006
1275006,1275007
1275009,1275010
1275010,1275011
1275025,1275026
1275027,1275028
1275036,1275037
1275037,1275038
1275039,1275040
1275041,1275042
1275049,1275050
1275050,1275051
1275052,1275053
1275053,1275054
1275057,1275058
1275058,1275059
1275059,1275060
1275060,1275061
1275064,1275065
1275065,1275066
1275066,1275067
1275067,1275068
1275068,1275069
1275069,1275070
1275072,1275073
1275075,1275076
1275077,1275078
1275078,1275079
1275079,1275080
1275080,1275081
1275084,1275085
1275212,1275213
1275851,1275852
1275852,1275853
1276547,1276548
1276548,1276549
1278239,1278240
1278240,1278241
1278505,1278506
1278578,1278579
1278589,1278590
1278590,1278591
1278605,1278606
1278606,1278607
1278608,1278609
1278656,1278657
1278740,1278741
1278741,1278742
1278753,1278754
1278756,1278757
1278757,1278758
1278764,1278765
1279077,1279078
1279078,1279079
1279326,1279327
1279327,1279328
1280240,1280241
1280241,1280242
1280549,1280550
