first_frame,last_frame
1890278,1890284
1890286,1890298
1890300,1890300
1890302,1890304
1890306,1890314
1890316,1890316
1890319,1890323
1890325,1890328
1890330,1890344
1890346,1890347
1890349,1890349
1890351,1890354
1890356,1890356
1890358,1890359
1890751,1890751
1890756,1890756
1890759,1890760
1890762,1890762
1890764,1890786
1890925,1890926
1890928,1890928
1890930,1890934
1890936,1890938
1890941,1890945
1890949,1890950
1890956,1890956
1890961,1890961
1890963,1890963
1890971,1890972
1890979,1890980
1891007,1891007
1891010,1891010
1891026,1891026
1891032,1891034
1891036,1891037
1891039,1891039
1891063,1891076
1891081,1891082
1891084,1891086
1891088,1891091
1891093,1891093
1891095,1891095
1891097,1891097
1891099,1891099
1891103,1891107
1891110,1891113
1891115,1891120
1891122,1891125
1891127,1891127
1891129,1891131
1891133,1891133
1891137,1891137
1891139,1891142
1891150,1891152
1891154,1891155
1891158,1891159
1891161,1891163
1891168,1891168
1891172,1891173
1891175,1891177
1891180,1891180
1891184,1891185
1891187,1891188
1891190,1891190
1891192,1891192
1891197,1891197
1891199,1891201
1891203,1891203
1891205,1891205
1891209,1891209
1891212,1891212
1891222,1891222
1892737,1892737
1898047,1898047
1899420,1899420
1899423,1899423
1899425,1899426
1899453,1899453
1900422,1900422
1900562,1900562
1900858,1900860
1900863,1900982
1900985,1900985
1900991,1900991
1901058,1901070
1901073,1901075
1901077,1901079
1901083,1901084
1901086,1901086
1901090,1901176
1901208,1902502
1940250,1940250
1942052,1942055
1945823,1945841
1946023,1946096
1946624,1946667
1946669,1946669
1946671,1946671
1946674,1946674
1946678,1946678
1946702,1946702
1946705,1946705
1946708,1946712
1946714,1946715
1946717,1946717
1946722,1946723
1947640,1947642
1947644,1949029
1954231,1954231
1964049,1964092
1970085,1970155
2014029,2014030
2014033,2014078
2014136,2014144
2026572,2026572
2032084,2032086
2043578,2043580
2047087,2047088
2047397,2047398
2047709,2047712
2053613,2053613
2053841,2053841
2075327,2075331
2075344,2075396
2091561,2091561
2098088,2098191
2098193,2098204
2098311,2098311
2098380,2098382
2098384,2098384
2098386,2098386
2098390,2098391
2098394,2098395
2098413,2098416
2098420,2098420
2098422,2098423
2098425,2098426
2098428,2098432
2098469,2098471
2098473,2098473
2098522,2098522
2098539,2098543
2098545,2098547
2098580,2098582
2098600,2098602
2098609,2098611
2098617,2098619
2098662,2098662
2098673,2098674
2098683,2098685
2098687,2098687
2098690,2098692
2102404,2102447
2116656,2119299
2126136,2149809
2162973,2162990
2162996,2162999
2163006,2163282
2163305,2180229
2181280,2181280
2181298,2181298
2181316,2181316
2181326,2181327
2181329,2181330
2181332,2181332
2181337,2181338
2181346,2181346
2181357,2181357
2181359,2181373
2181382,2182514
2191648,2191665
2210064,2213999
2214068,2214069
2214112,2214113
2215587,2215609
2215941,2215943
2216556,2216557
2216569,2216573
2216588,2216588
2216591,2216591
2216597,2216597
2216604,2216606
2216611,2216612
2216614,2216614
2216624,2216624
2216636,2216639
2216651,2216653
2216657,2216659
2216683,2216684
2216691,2216694
2216703,2216708
2216710,2216712
2216715,2216715
2216721,2216722
2216733,2216734
2216736,2216736
2216754,2216757
2218939,2218939
2218941,2218945
2218948,2218949
2218958,2218958
2218965,2218968
2218974,2218975
2218987,2218987
2218992,2218992
2220193,2223533
2223622,2223623
2224039,2224039
2224212,2224213
2224221,2224221
2224723,2225232
2225234,2225325
2225328,2225328
2225330,2225333
2225373,2225454
2225458,2225489
2226043,2226230
2226234,2226242
2226249,2226254
2226261,2226262
2226357,2240511
2259501,2268511
2278001,2287011
2287202,2296500
2310257,2310257
2326661,2326664
2341449,2341453
2341455,2341462
2341464,2341492
2341494,2341499
2341519,2341563
2341565,2341567
2341582,2341582
2341609,2341609
2341618,2341618
2341620,2341620
2369743,2369767
2369771,2369785
2369826,2369869
2370069,2370072
2370074,2370442
2370444,2370444
2370519,2370604
2370606,2370607
2370775,2370854
2370888,2372298
2372300,2372433
2372435,2372466
2372468,2372532
2372534,2372547
2372549,2372591
2372593,2372610
2372612,2372616
2372618,2372623
2372625,2372627
2372629,2372674
2372676,2372690
2372692,2372983
2373634,2373635
2373637,2373637
2373647,2373713
2374168,2374244
